ID_cliente,cluster_kmeans,prob_base,prob_scenario,delta_prob
C00000,0,0.0015253019979951557,0.0016638989281944348,0.0001385969301992791
C00001,1,0.5053428828511143,0.662585287966392,0.15724240511527776
C00002,0,0.001103987751903292,0.0012043480388180478,0.0001003602869147557
C00003,0,0.0035640096490802352,0.006828254566774113,0.0032642449176938774
C00004,5,0.7264740078429814,0.8999459703237515,0.17347196248077001
C00005,0,0.0032425153071287314,0.0035365945591113324,0.00029407925198260106
C00006,4,0.20553747847795867,0.22012683037455755,0.014589351896598879
C00007,2,0.04709131640815441,0.05115814306715282,0.004066826658998414
C00008,3,0.3607414557357179,0.520317980446001,0.15957652471028305
C00009,4,0.3227023681185533,0.3420278641857468,0.019325496067193526
C00010,0,0.0017902114050154408,0.001952832313182269,0.00016262090816682824
C00011,2,0.047424471099797624,0.051518513633530924,0.0040940425337333
C00012,2,0.037900926918617156,0.041208390358033004,0.0033074634394158475
C00013,3,0.2399762757108543,0.2562217640637642,0.01624548835290987
C00014,0,0.0018090656626194217,0.001973395885681835,0.00016433022306241323
C00015,1,0.432038178018134,0.5938547546009988,0.1618165765828648
C00016,0,0.004387526477708116,0.025620202451845764,0.02123267597413765
C00017,4,0.14968928350623933,0.16111839259844984,0.01142910909221051
C00018,0,0.0013067111738480556,0.001425474153082727,0.00011876297923467134
C00019,2,0.08548875098287374,0.24045499607443352,0.15496624509155976
C00020,1,0.42424937363140997,0.5861594189954277,0.1619100453640177
C00021,2,0.029207177386493546,0.03178103293990981,0.002573855553416264
C00022,5,0.9144878006333313,0.9536099284787164,0.039122127845385046
C00023,3,0.32446000936828706,0.4800391397213141,0.15557913035302706
C00024,0,0.0025009028088465693,0.0047961442353483905,0.0022952414265018212
C00025,3,0.48889095548175576,0.6477173726424628,0.158826417160707
C00026,0,0.005608930398417926,0.018744138015627108,0.013135207617209183
C00027,5,0.9288795539754486,0.9344236134619257,0.005544059486477071
C00028,3,0.584070715957818,0.7296743463496821,0.14560363039186408
C00029,4,0.22719660436540026,0.49890235265203914,0.27170574828663885
C00030,0,0.0011698314854796975,0.002246212925003499,0.0010763814395238016
C00031,0,0.002162176210439352,0.002358506173390282,0.0001963299629509298
C00032,3,0.4148633799849711,0.5767798285794343,0.16191644859446325
C00033,3,0.26681667858076724,0.4115964181207541,0.14477973953998685
C00034,4,0.4087890021091523,0.7007442661901213,0.291955264080969
C00035,4,0.17674394602567628,0.189777706384322,0.01303376035864573
C00036,3,0.5017994062867185,0.5235594544539852,0.021760048167266732
C00037,0,0.0015056606667756284,0.0016424758185524864,0.000136815151776858
C00038,4,0.26015097847004803,0.27726397885588144,0.01711300038583341
